node_id,label,definition,aliases,subject_tags,scope_notes,source_ids,status,reviewer_role,review_date,educator_notes
n-cars,Cars,Vehicles as a topic for noticing and comparing motion.,vehicles,transport|physics,Use toys or hypothetical records; no current product rankings.,s-nasa-motion,draft,,,Illustrative draft; educator may revise or replace.
n-music,Music,Organized sound and silence as a topic for listening and making.,,music,No particular style or meter is universal.,s-ableton-tempo|s-ableton-bars,draft,,,Illustrative draft; educator may revise or replace.
n-cooking,Cooking,"Preparing food as a context for quantities, combinations and changes.",,everyday-life|mathematics,Initial activities use paper or empty containers; no food handling is required.,s-openstax-measure,draft,,,Illustrative draft; educator may revise or replace.
n-plants,Plants,"Living organisms explored through their structures, needs and changes.",,life-science,Examples must specify the kind of plant and relevant conditions.,s-ngss-parts|s-ngss-needs,draft,,,Illustrative draft; educator may revise or replace.
n-building,Building,Designing and assembling structures as a context for shapes and dimensions.,construction,design|mathematics,"Use small, stable tabletop models.",s-openstax-geometry,draft,,,Illustrative draft; educator may revise or replace.
n-distance,Distance traveled,The length of a route traveled by an object.,path length,physics|measurement,Distance traveled and displacement need not be equal.,s-openstax-speed,draft,,,Illustrative draft; educator may revise or replace.
n-elapsed-time,Elapsed time,The duration between a chosen start and end.,duration,measurement|music|physics,"State the start, end and unit when comparing.",s-openstax-measure,draft,,,Illustrative draft; educator may revise or replace.
n-average-speed,Average speed,Distance traveled divided by elapsed time.,,physics,An interval average does not describe every moment of motion.,s-openstax-speed,draft,,,Illustrative draft; educator may revise or replace.
n-average-acceleration,Average acceleration,Change in velocity divided by the elapsed time.,,physics,Velocity includes direction. A time alone is not acceleration.,s-nasa-motion,draft,,,Illustrative draft; educator may revise or replace.
n-steady-beat,Steady beat,A regularly recurring pulse used to organize musical timing.,pulse,music,A rhythm may contain several sounds within one beat.,s-ableton-tempo,draft,,,Illustrative draft; educator may revise or replace.
n-tempo,Tempo,The rate of the underlying musical beat.,,music|measurement,More notes do not necessarily mean a faster tempo.,s-ableton-tempo,draft,,,Illustrative draft; educator may revise or replace.
n-rate,Rate,A quantity expressed per unit of another quantity.,,mathematics|measurement,Name both quantities and units; not every rate measures time.,s-ableton-tempo|s-nasa-motion,draft,,,Illustrative draft; educator may revise or replace.
n-rhythm,Rhythm,The arrangement of sound durations and silences in time.,,music,Rhythm can vary while the underlying beat remains steady.,s-ableton-tempo,draft,,,Illustrative draft; educator may revise or replace.
n-repeating-pattern,Repeating pattern,A sequence built by recurring instances of a recognizable unit.,repeat unit,mathematics|music,Only some musical patterns repeat exactly.,s-ableton-bars,draft,,,Illustrative draft; educator may revise or replace.
n-equal-parts,Equal parts,Parts equal in the relevant measure of a stated whole.,equal shares,mathematics,"Specify equality of area, duration, volume or another measure.",s-openstax-fractions,draft,,,Illustrative draft; educator may revise or replace.
n-fractions,Fractions,Numbers that can describe equal parts relative to a specified whole.,,mathematics,Part-whole models are an entry point; fractions also have other interpretations.,s-openstax-fractions,draft,,,Illustrative draft; educator may revise or replace.
n-measurement,Measurement,Comparing a quantity with an agreed unit.,measuring,mathematics|science,"A measurement needs a quantity, value and unit.",s-openstax-measure,draft,,,Illustrative draft; educator may revise or replace.
n-equivalent-fractions,Equivalent fractions,Different fraction representations with the same value.,,mathematics,Compare using the same whole in visual models.,s-openstax-fractions,draft,,,Illustrative draft; educator may revise or replace.
n-plant-parts,Plant parts,"Structures such as roots, stems and leaves that serve functions.",,life-science,Plant structures vary; not every specimen has every listed part.,s-ngss-parts,draft,,,Illustrative draft; educator may revise or replace.
n-plant-needs,Plant needs,Conditions and resources that support a plant’s survival and growth.,,life-science,Needs depend on species and life stage; seeds and mature plants may differ.,s-ngss-needs,draft,,,Illustrative draft; educator may revise or replace.
n-fair-test,Fair test,A comparison designed to separate the factor of interest from other influences.,controlled comparison,science|design,One simple comparison rarely establishes a universal cause.,s-ngss-fair-test,draft,,,Illustrative draft; educator may revise or replace.
n-observation,Observation,A recorded description or measurement of what was noticed.,,science|measurement,Keep observations distinguishable from explanations and guesses.,s-ngss-fair-test,draft,,,Illustrative draft; educator may revise or replace.
n-length,Length,The extent of something along one dimension.,,mathematics|measurement,State units and align measuring tools consistently.,s-openstax-geometry,draft,,,Illustrative draft; educator may revise or replace.
n-perimeter,Perimeter,The total length around a plane figure’s boundary.,,mathematics,Boundary length differs from surface area.,s-openstax-geometry,draft,,,Illustrative draft; educator may revise or replace.
n-area,Area,The measure of a two-dimensional region.,,mathematics,Use square units; boundary length alone does not determine area.,s-openstax-geometry,draft,,,Illustrative draft; educator may revise or replace.
n-rectangle,Rectangle,A quadrilateral with four right angles.,,mathematics,A square is a particular rectangle.,s-openstax-geometry,draft,,,Illustrative draft; educator may revise or replace.
n-triangle,Triangle,A polygon with three sides.,,mathematics,Rotating a triangle does not change its identity.,s-openstax-geometry,draft,,,Illustrative draft; educator may revise or replace.
n-square-unit,Square unit,An area unit represented by a square with unit-length sides.,,mathematics|measurement,"A unit square is a model for area, not a unit of perimeter.",s-openstax-geometry,draft,,,Illustrative draft; educator may revise or replace.
n-change,Change,A difference between states or measurements.,,science|mathematics,Specify what changed and the comparison being made.,s-nasa-motion,draft,,,Illustrative draft; educator may revise or replace.
n-comparison,Comparison,Examining similarities or differences using explicit criteria.,,science|mathematics,A useful comparison states which attributes matter.,s-ngss-fair-test,draft,,,Illustrative draft; educator may revise or replace.
