path_step_id,path_id,sequence,target_node_id,connection_id,step_goal,opening_prompt,activity,understanding_check,expected_observation,materials,content_revision,source_ids,status,reviewer_role,review_date,educator_notes
p-cars-s01,p-cars,1,n-distance,c-001,Compare distances along two routes.,Which route is longer?,Lay two strings along two drawn toy-car routes; compare their lengths.,How could you compare routes with different shapes?,Uses route length rather than straight-line end-point separation.,"Paper, string, toy car",1,s-openstax-speed,draft,,,First activity is a fuller draft; human review is still required.
p-cars-s02,p-cars,2,n-elapsed-time,c-002,Distinguish duration from distance.,Could the same route take different amounts of time?,Outline: move a toy over the same marked route at two paces.,,,,1,s-openstax-measure,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-cars-s03,p-cars,3,n-average-speed,c-003,Compare average speeds for the same route.,What does less time for the same route tell us?,Outline: compare two hypothetical same-distance journeys.,,,,1,s-openstax-speed,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-cars-s04,p-cars,4,n-average-acceleration,c-004,Distinguish moving quickly from changing velocity quickly.,Could two cars reach the same speed in different times?,Outline: use hypothetical straight-line velocity-change cards.,,,,1,s-nasa-motion,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-music-pulse-s01,p-music-pulse,1,n-steady-beat,c-005,Keep track of a simple recurring pulse.,Can you tap along with this steady pulse?,Tap a comfortable steady pulse and invite a response; allow pointing instead.,Could a different tapping pattern still follow this pulse?,Distinguishes the underlying pulse from additional taps.,Tabletop or optional quiet hand drum,1,s-ableton-tempo,draft,,,First activity is a fuller draft; human review is still required.
p-music-pulse-s02,p-music-pulse,2,n-tempo,c-006,Compare the pace of two steady pulses.,Which pulse feels faster?,Outline: contrast two comfortable tapping rates.,,,,1,s-ableton-tempo,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-music-pulse-s03,p-music-pulse,3,n-rate,c-007,Explain what a count of beats over time describes.,What would we need to count and time?,Outline: count a short teacher-generated pulse interval.,,,,1,s-ableton-tempo|s-nasa-motion,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-music-pulse-s04,p-music-pulse,4,n-elapsed-time,c-008,Explain why counting intervals must be comparable.,Can counts from unequal times be compared directly?,Outline: contrast counts over different labeled durations.,,,,1,s-openstax-measure,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-music-pattern-s01,p-music-pattern,1,n-rhythm,c-009,Notice differences in sound timing.,How are these two tapping patterns different?,Tap two original short patterns over the same quiet pulse.,Did the pulse speed need to change for the pattern to change?,Describes the arrangement of sounds rather than only fast or slow.,Tabletop and drawn timing marks,1,s-ableton-tempo,draft,,,First activity is a fuller draft; human review is still required.
p-music-pattern-s02,p-music-pattern,2,n-repeating-pattern,c-010,Identify a repeat unit in a chosen rhythm.,What small unit keeps coming back?,Outline: mark an educator-created repeated pattern.,,,,1,s-ableton-bars,draft,,,Outline: educator must complete the activity and understanding check before testing.
