source_id,title,citation,url,source_notes
s-openstax-speed,Speed and Velocity,"OpenStax. Physics, section 2.2: Speed and Velocity.",https://openstax.org/books/physics/pages/2-2-speed-and-velocity,Supports average speed versus average velocity and elapsed time. Adult reference; activities require adaptation.
s-nasa-motion,"Displacement, Velocity, Acceleration","NASA Glenn Research Center. Displacement, Velocity, Acceleration. Updated May 13, 2021.",https://www.grc.nasa.gov/www/k-12/airplane/disvelac.html,Supports velocity and average acceleration. Straight-line examples need stated assumptions; source access is not educator approval.
s-ableton-tempo,Beat and tempo,Ableton. Learning Music: Beat and tempo.,https://learningmusic.ableton.com/make-beats/beat-and-tempo.html,"Supports pulse and tempo. Activities in this workbook are original draft proposals, not copied exercises."
s-ableton-bars,Bars,Ableton. Learning Music: Bars.,https://learningmusic.ableton.com/make-beats/bars.html,Describes its four-beat examples. Do not infer that all music uses four beats per bar.
s-openstax-fractions,Visualize Fractions,"OpenStax. Prealgebra 2e, section 4.1: Visualize Fractions.",https://openstax.org/books/prealgebra-2e/pages/4-1-visualize-fractions,Reference for equal parts and fraction equivalence. No textbook images or passages are reproduced.
s-openstax-measure,Systems of Measurement,"OpenStax. Prealgebra 2e, section 7.5: Systems of Measurement.",https://openstax.org/books/prealgebra-2e/pages/7-5-systems-of-measurement,Reference for measured quantities and units. Intended source level is adult educator reference.
s-openstax-geometry,"Rectangles, Triangles, and Trapezoids","OpenStax. Prealgebra 2e, section 9.4: Use Properties of Rectangles, Triangles, and Trapezoids.",https://openstax.org/books/prealgebra-2e/pages/9-4-use-properties-of-rectangles-triangles-and-trapezoids,"Reference for length, perimeter, area and shapes. Proposed activities use original examples."
s-ngss-parts,Plant structures and processes,"NGSS. Grade 1 LS1: From Molecules to Organisms, Structures and Processes.",https://www.nextgenscience.org/dci-arrangement/1-ls1-molecules-organisms-structures-and-processes,Supports plant parts and their functions. A standards reference does not establish suitability for this student.
s-ngss-needs,Plant needs investigation,NGSS. Performance expectation 2-LS2-1.,https://www.nextgenscience.org/pe/2-ls2-1-ecosystems-interactions-energy-and-dynamics,Supports investigating light and water for growth. A short session plans or interprets observations; it cannot show real growth immediately.
s-ngss-fair-test,Fair tests in engineering design,NGSS. Performance expectation 3-5-ETS1-3.,https://www.nextgenscience.org/pe/3-5-ets1-3-engineering-design,Supports controlled comparisons and repeated trials. Plant-path transfer is an educator-authored proposal.
