connection_id,from_node_id,to_node_id,learning_reason,readiness_guidance,illustrative_prompt,source_ids,status,reviewer_role,review_date,educator_notes
c-001,n-cars,n-distance,Following a toy car makes route length concrete.,Check understanding of the source idea; adapt the proposed move to this learner.,Which route is longer?,s-openstax-speed,draft,,,Teaching transition is an original draft hypothesis to test.
c-002,n-distance,n-elapsed-time,A journey also has a beginning and an end in time.,Check understanding of the source idea; adapt the proposed move to this learner.,Could the same route take different amounts of time?,s-openstax-measure,draft,,,Teaching transition is an original draft hypothesis to test.
c-003,n-elapsed-time,n-average-speed,Combining distance with time makes a journey comparison useful.,Check understanding of the source idea; adapt the proposed move to this learner.,What does less time for the same route tell us?,s-openstax-speed,draft,,,Teaching transition is an original draft hypothesis to test.
c-004,n-average-speed,n-average-acceleration,Speed invites a new question about changes in velocity.,Check understanding of the source idea; adapt the proposed move to this learner.,Could two cars reach the same speed in different times?,s-nasa-motion,draft,,,Teaching transition is an original draft hypothesis to test.
c-005,n-music,n-steady-beat,An audible or tapped pulse offers a concrete musical starting point.,Check understanding of the source idea; adapt the proposed move to this learner.,Can you tap along with this steady pulse?,s-ableton-tempo,draft,,,Teaching transition is an original draft hypothesis to test.
c-006,n-steady-beat,n-tempo,A pulse can recur at different rates.,Check understanding of the source idea; adapt the proposed move to this learner.,Which pulse feels faster?,s-ableton-tempo,draft,,,Teaching transition is an original draft hypothesis to test.
c-007,n-tempo,n-rate,Tempo connects music to quantities expressed per time.,Check understanding of the source idea; adapt the proposed move to this learner.,What would we need to count and time?,s-ableton-tempo|s-nasa-motion,draft,,,Teaching transition is an original draft hypothesis to test.
c-008,n-rate,n-elapsed-time,Counting a rate depends on selecting a time interval.,Check understanding of the source idea; adapt the proposed move to this learner.,Can counts from unequal times be compared directly?,s-openstax-measure,draft,,,Teaching transition is an original draft hypothesis to test.
c-009,n-music,n-rhythm,Different arrangements of taps create musical contrast.,Check understanding of the source idea; adapt the proposed move to this learner.,How are these two tapping patterns different?,s-ableton-tempo,draft,,,Teaching transition is an original draft hypothesis to test.
c-010,n-rhythm,n-repeating-pattern,A recurring phrase can reveal a repeat unit.,Check understanding of the source idea; adapt the proposed move to this learner.,What small unit keeps coming back?,s-ableton-bars,draft,,,Teaching transition is an original draft hypothesis to test.
c-011,n-repeating-pattern,n-equal-parts,A chosen time span can be divided into equal intervals.,Check understanding of the source idea; adapt the proposed move to this learner.,How could we split this span evenly?,s-openstax-fractions,draft,,,Teaching transition is an original draft hypothesis to test.
c-012,n-equal-parts,n-fractions,Equal subdivisions can be named relative to their whole.,Check understanding of the source idea; adapt the proposed move to this learner.,Which whole are these parts measured against?,s-openstax-fractions,draft,,,Teaching transition is an original draft hypothesis to test.
c-013,n-cooking,n-measurement,Recipes make units and amounts useful.,Check understanding of the source idea; adapt the proposed move to this learner.,Would saying two be enough for someone following a recipe?,s-openstax-measure,draft,,,Teaching transition is an original draft hypothesis to test.
c-014,n-measurement,n-equal-parts,Dividing a measured whole introduces equal shares.,Check understanding of the source idea; adapt the proposed move to this learner.,What would make these shares equal?,s-openstax-fractions,draft,,,Teaching transition is an original draft hypothesis to test.
c-015,n-fractions,n-equivalent-fractions,The same share can be subdivided more finely.,Check understanding of the source idea; adapt the proposed move to this learner.,Could differently divided pictures show the same share?,s-openstax-fractions,draft,,,Teaching transition is an original draft hypothesis to test.
c-016,n-plants,n-plant-parts,Visible structures make a plant an accessible observation subject.,Check understanding of the source idea; adapt the proposed move to this learner.,What parts can you actually see?,s-ngss-parts,draft,,,Teaching transition is an original draft hypothesis to test.
c-017,n-plant-parts,n-plant-needs,Structures invite questions about growth conditions.,Check understanding of the source idea; adapt the proposed move to this learner.,What might this plant need to grow?,s-ngss-needs,draft,,,Teaching transition is an original draft hypothesis to test.
c-018,n-plant-needs,n-fair-test,A question about needs can become a controlled comparison.,Check understanding of the source idea; adapt the proposed move to this learner.,What should stay the same in our comparison?,s-ngss-fair-test,draft,,,Teaching transition is an original draft hypothesis to test.
c-019,n-fair-test,n-observation,A planned comparison needs explicit observations.,Check understanding of the source idea; adapt the proposed move to this learner.,"What would we record, and what would remain a guess?",s-ngss-fair-test,draft,,,Teaching transition is an original draft hypothesis to test.
c-020,n-building,n-length,A tabletop design needs components of suitable size.,Check understanding of the source idea; adapt the proposed move to this learner.,How long should this paper wall be?,s-openstax-geometry,draft,,,Teaching transition is an original draft hypothesis to test.
c-021,n-length,n-perimeter,Several boundary lengths combine into a perimeter.,Check understanding of the source idea; adapt the proposed move to this learner.,How much border would go around this floor plan?,s-openstax-geometry,draft,,,Teaching transition is an original draft hypothesis to test.
c-022,n-perimeter,n-area,Covering the inside raises a different measurement question.,Check understanding of the source idea; adapt the proposed move to this learner.,Would knowing the border tell us how many floor squares we need?,s-openstax-geometry,draft,,,Teaching transition is an original draft hypothesis to test.
c-023,n-area,n-length,Returning to length distinguishes linear and square units.,Check understanding of the source idea; adapt the proposed move to this learner.,Why do we use different units for a side and the covered surface?,s-openstax-geometry,draft,,,Teaching transition is an original draft hypothesis to test.
c-024,n-rate,n-measurement,Rates invite discussion of which quantities and units were measured.,Educator decides whether the transition fits the current learning goal.,,,draft,,,Unassigned branch for future educator curation.
c-025,n-observation,n-measurement,A qualitative observation can motivate a more precise measurement.,Educator decides whether the transition fits the current learning goal.,,,draft,,,Unassigned branch for future educator curation.
c-026,n-area,n-fractions,A tiled region can provide another model for parts of a whole.,Educator decides whether the transition fits the current learning goal.,,,draft,,,Unassigned branch for future educator curation.
